strain,phage,interaction
GCA_021530055.1,JAULFU010000041.1,0
GCA_900195705.1,FZFG01000063.1,1
GCA_032448445.1,CACSQT020000059.1,0
GCA_021492825.1,ABEQVJ010000029.1,1
GCA_023209915.1,AAYPEN010000068.1,0
GCA_026867215.1,ABJTWH010000030.1,1
GCA_020322695.1,CATRQI010000021.1,0
GCA_029879305.1,DAOKTI010000017.1,1
GCA_012792575.1,ABLMKC010000045.1,0
GCA_020540765.2,ABDIFY020000030.1,1
GCA_019939035.1,ABCJUP010000061.1,1
GCA_014464085.1,AASJWW010000051.1,0
GCA_034534595.1,JAXQVS010000368.1,1
GCA_012266485.1,ABMYQR010000030.1,0
GCA_019392395.1,AARTEA010000082.1,0
GCA_012054145.1,AARNDY010000050.1,1
GCA_011934125.1,AARFMO010000039.1,1
GCA_014621855.1,DABTGC010000054.1,1
GCA_018092525.1,JAKYRT010000046.1,0
GCA_002231885.1,NLRW01000070.1,1
GCA_025276115.1,DAJFTJ010000092.1,1
GCA_012835675.1,AATJPL010000027.1,1
GCA_023882225.1,AASSDA010000115.1,0
GCA_014345875.1,AAVJQU010000054.1,0
GCA_003902695.2,AARBWS010000067.1,0
GCA_002075175.1,AAUHGW010000068.1,0
GCA_025089665.1,ABICHZ010000068.1,1
GCA_012498805.1,DAOWTI010000058.1,0
GCA_011977085.1,AARITH010000030.1,1
GCA_020949735.1,ABDYKW010000035.1,1
GCA_012074425.1,AAROJF010000084.1,1
GCA_003417815.1,PCZZ01000102.1,1
GCA_013076765.1,DAFABE010000074.1,0
GCA_031543525.1,AASOUH010000034.1,0
GCA_000418755.2,KE375553.1,1
GCA_012086655.1,AARPHV010000081.1,1
GCA_014947745.1,AAWQRB010000031.1,1
GCA_037063525.1,ABQPJP010000094.1,1
GCA_023476445.1,JAMBZL010000103.1,1
GCA_012704225.1,ABCXTA010000080.1,0
GCA_012310175.1,ABALAC010000068.1,0
GCA_011862545.1,AARAJB010000033.1,1
GCA_038449965.1,ABRWLU010000105.1,1
GCA_028025905.1,AAQYIQ010000053.1,0
GCA_019024905.1,ABAZXI010000030.1,1
GCA_012206965.1,AARYSZ010000063.1,1
GCA_028755865.1,DACYWG010000205.1,0
GCA_038419935.1,AASHLX010000033.1,0
GCA_026956615.1,ABABZR010000061.1,0
GCA_014688605.1,DABUFB010000091.1,1
GCA_021860465.1,ABEXKB010000032.1,1
GCA_020360205.1,JAHWEY010000048.1,0
GCA_012648145.1,ABAAPS010000070.1,0
GCA_022590955.1,AAQZFD010000066.1,0
GCA_001286505.1,CYGN01000116.1,1
GCA_029943945.1,DAHIFD010000065.1,0
GCA_014979785.1,AAWNRX010000031.1,1
GCA_028230265.1,DANAPU010000047.1,1
GCA_037635515.1,JBBGKV010000098.1,1
GCA_030392355.1,SZAJ01000042.1,1
GCA_020361585.1,DAFAUR010000083.1,1
GCA_012989485.1,ABIGFX010000032.1,0
GCA_009768325.1,AAVVDE010000056.1,0
GCA_012226785.1,AATTHN010000060.1,0
GCA_024568325.1,ABHKUA010000042.1,1
GCA_000335055.2,AOEH01000098.1,1
GCA_012437175.1,AASNDJ010000052.1,1
GCA_012590565.1,JATAHE010000017.1,0
GCA_033630165.1,ABOUQI010000033.1,1
GCA_030510785.1,JAUKYD010000046.1,1
GCA_012111995.1,CADGXZ010000020.1,0
GCA_028022145.1,DAMVUZ010000100.1,1
GCA_024801205.1,JALLKX010000034.1,0
GCA_019939115.1,ABCJUL010000067.1,1
GCA_019774335.1,ABCDCK010000047.1,1
GCA_011975705.1,ABIVLG010000067.1,0
GCA_011603085.1,AASHBH010000042.1,0
GCA_031644695.1,ABMOOR010000055.1,1
GCA_012325075.1,AARRFB010000029.1,0
GCA_037645125.1,JBBGUE010000052.1,1
GCA_018412025.1,DAEBVV010000070.1,1
GCA_032709685.1,ABNVXN010000046.1,1
GCA_008273155.1,JAXRGJ010000138.1,0
GCA_002769355.1,BETI01000039.1,1
GCA_014780935.1,AAWJMN010000032.1,1
GCA_032695505.1,ABNVKT010000031.1,1
GCA_015323325.1,AAXDRW010000030.1,1
GCA_031943985.1,ABEZBY010000066.1,0
GCA_016737835.1,ABAPBG010000033.1,0
GCA_000780515.1,JACAMJ010000036.1,0
GCA_001592595.1,BBUW01000055.1,1
GCA_011858765.1,ABKOHP010000065.1,0
GCA_036669735.1,ABQHDI010000024.1,1
GCA_020370385.1,DAFTKH010000048.1,0
GCA_012919685.1,AATNDC010000063.1,1
GCA_014113245.1,AAVIFG010000034.1,1
GCA_017269855.1,DADNJK010000071.1,1
GCA_012668605.1,AATBOY010000057.1,0
GCA_014346675.1,JHKA01000126.1,0
GCA_015389875.1,AAZDWU010000053.1,0
GCA_032562035.1,AARXUZ010000032.1,0
GCA_012894335.1,ABJULO010000049.1,0
GCA_002522575.1,SPWK01000139.1,0
GCA_011811685.1,AAQWSN010000029.1,1
GCA_003769225.2,ABLTKB010000031.1,0
GCA_027261155.1,ABGRCB010000031.1,0
GCA_012824515.1,AASKKU020000053.1,0
GCA_014446735.1,AAVVXB010000062.1,1
GCA_023352995.1,NLRB01000048.1,0
GCA_018977845.1,ABAYBA010000049.1,1
GCA_015226025.1,AAXAPD010000033.1,1
GCA_029351405.1,JARKHB010000013.1,1
GCA_026239035.1,JAEHAI010000041.1,1
GCA_012905605.1,RWGJ02000076.1,0
GCA_020604715.1,JAKYPV010000059.1,0
GCA_029134305.1,AASVBV010000041.1,0
GCA_023863865.1,JAKXJI010000090.1,1
GCA_012653325.1,ABLXHL010000033.1,0
GCA_011917125.1,ABDBVG010000072.1,0
GCA_014345715.1,AAVPWV010000067.1,1
GCA_002767725.1,ABIJZM010000075.1,0
GCA_018637235.1,DADTVA010000076.1,0
GCA_038429915.1,ABRWCY010000037.1,1
GCA_012216705.1,AARZQJ010000042.1,1
GCA_014330825.1,PXHK01000062.1,0
GCA_013575275.1,AAUDWG010000047.1,1
GCA_004232705.2,DAJGXO010000037.1,0
GCA_016615365.1,ABONZT010000056.1,0
GCA_013674935.1,RNGY02000063.1,0
GCA_019003105.1,DAERCZ010000071.1,1
GCA_026722505.1,DAKRYO010000011.1,1
GCA_034425475.1,NJTL01000052.1,0
GCA_029082905.1,KQ087741.1,0
GCA_000948955.1,JXWJ01000053.1,1
GCA_020286615.1,AATLDC010000069.1,0
GCA_012052985.1,ABDAUI010000104.1,0
GCA_012528015.1,DABIUZ010000043.1,0
GCA_020705295.1,JAXLDY010000050.1,0
GCA_020362845.1,JACCOK010000047.1,0
GCA_011943225.1,AARGEK010000069.1,1
GCA_012025315.1,AARLZA010000162.1,1
GCA_023120795.1,DAHATR010000062.1,1
GCA_020301025.1,ABCXTE010000047.1,1
GCA_036669735.1,AAYNCF010000065.1,0
GCA_020342975.1,DAHBJY010000125.1,0
GCA_011928365.1,DADEOR010000042.1,0
GCA_032828735.1,ABOBIC010000041.1,1
GCA_033176165.1,ABKOLJ010000119.1,0
GCA_020987705.1,ABEAPK010000032.1,1
GCA_013536535.1,ABBHZF010000029.1,0
GCA_017771445.1,DADTIZ010000070.1,1
GCA_012500315.1,AASQUJ010000034.1,1
GCA_014969625.1,AAWPWB010000032.1,1
GCA_030787335.1,ABLWBV010000064.1,0
GCA_016697265.1,DADEOR010000042.1,1
GCA_014808865.1,WKVG01000058.1,0
GCA_016768675.1,JABEGE010000049.1,1
GCA_017032735.1,AAYZGE010000098.1,1
GCA_033739515.1,AAXLLE010000033.1,0
GCA_032615895.1,ABNSAS010000032.1,1
GCA_946413875.1,AARSVY010000041.1,0
GCA_037048525.1,JBAIED010000074.1,1
GCA_028139665.1,ABJWGW010000034.1,0
GCA_021499215.1,DAOJYB010000039.1,0
GCA_014981505.1,JACXLZ010000008.1,1
GCA_020352155.1,JAHVQC010000062.1,0
GCA_002291055.1,NSEE01000262.1,1
GCA_019325685.1,LQTC01000073.1,0
GCA_011902985.1,AARDRZ010000059.1,1
GCA_015690245.1,JADPUY010000049.1,1
GCA_015339925.1,AAXEVE010000070.1,1
GCA_012259965.1,CATRSI010000051.1,0
GCA_003769225.2,RNIN02000078.1,1
GCA_016580725.1,AAYQRF010000050.1,1
GCA_014436945.1,AAVVEZ010000055.1,1
GCA_012631265.1,AASXWX010000047.1,1
GCA_017140335.1,DADKNO010000107.1,1
GCA_002521215.1,ABDTXT010000059.1,0
GCA_025089665.1,AAZBVL010000049.1,0
GCA_032542865.1,ABNPTZ010000075.1,1
GCA_014741715.1,ABJZXR010000059.1,0
GCA_002973135.1,JZQG01000001.1,1
GCA_026669495.1,ABMCQD010000024.1,0
GCA_012048605.1,AARMTQ010000054.1,1
GCA_023968475.1,AAVVDY010000088.1,0
GCA_017714565.1,DAOJZQ010000018.1,0
GCA_029082825.1,JAEGJC010000029.1,1
GCA_011823455.1,DAHBKL010000045.1,0
GCA_023270785.1,AARUDB010000096.1,0
GCA_021529495.1,ABERXR010000033.1,1
GCA_005043515.1,DAFMKF010000040.1,0
GCA_958329075.1,NMJA01000058.1,0
GCA_017592965.1,JADIFS010000052.1,1
GCA_958307615.1,CATRBN010000041.1,1
GCA_012013705.1,JAODWH010000052.1,0
GCA_031720675.1,ABMRYS010000029.1,1
GCA_013020385.1,DABFYQ010000059.1,1
GCA_024257605.1,ABHBVB010000049.1,1
GCA_020300305.1,ABCXSC010000044.1,1
GCA_028525285.1,ABKDRD010000117.1,0
GCA_021081985.1,AARMUI010000062.1,0
GCA_014688605.1,AAREFW010000078.1,0
GCA_016118615.1,AAXEQV010000074.1,0
GCA_026083435.1,DAJVEX010000087.1,1
GCA_025280255.1,DAJGBK010000092.1,1
GCA_038026865.1,ABRPUD010000051.1,1
GCA_017725235.1,AASSZF010000020.1,0
GCA_029947705.1,JARGRQ010000018.1,1
GCA_025046935.1,AAVVDH010000056.1,0
GCA_016346665.1,NWPV01000044.1,0
GCA_014436445.1,DAHBSD010000070.1,0
GCA_028246135.1,DANAXL010000042.1,1
GCA_023097695.1,JALMBW010000024.1,1
GCA_012162335.1,JANTIW010000035.1,0
GCA_012576425.1,AASUHB010000065.1,1
GCA_030215985.1,SNLR01000089.1,0
GCA_030397385.1,SZJY01000055.1,1
GCA_020894735.1,ABDWDC010000031.1,1
GCA_024923065.1,ABHWDM010000021.1,1
GCA_027960925.1,DAQFUY010000078.1,0
GCA_014623145.1,DABTHU010000031.1,1
GCA_023561275.1,DADGUF010000041.1,0
GCA_032297655.1,ABNGJK010000058.1,1
GCA_012301065.1,AASFSH010000133.1,1
GCA_023875235.1,JAKXOK010000044.1,1
GCA_902707745.2,CACSPX020000042.1,1
GCA_903972075.1,CAJCMN010000062.1,1
GCA_012308265.1,AASGBP010000032.1,1
GCA_016735835.1,JADPVO010000046.1,1
GCA_014103995.1,JABXRE010000008.1,1
GCA_024776025.1,DAIVZO010000029.1,1
GCA_003304485.1,NRYD01000135.1,1
GCA_015140135.1,RQUL01000048.1,0
GCA_020386835.1,ABDAIZ010000019.1,0
GCA_902706755.2,JAWJJT010000062.1,0
GCA_038027005.1,ABRPUP010000022.1,1
GCA_012416425.1,AASLLD010000046.1,1
GCA_012122295.1,AARRTR010000035.1,1
GCA_014709535.1,DABUWY010000035.1,1
GCA_038374365.1,AARLVK010000147.1,0
GCA_012053785.1,AARNDA010000042.1,1
GCA_002458865.1,ABGLWU010000031.1,0
GCA_023995635.1,ABGTKA010000056.1,1
GCA_024857545.1,AARXOW010000055.1,0
GCA_014589415.1,NLGN01000073.1,0
GCA_021756165.1,ABEWKB010000070.1,1
GCA_027262695.1,ABDCLY010000051.1,0
GCA_958429915.1,CAUALZ010000058.1,1
GCA_034321665.1,JAXLNA010000047.1,1
GCA_031884855.1,AARDBP010000072.1,0
GCA_029039005.1,AASWJT010000032.1,0
GCA_003754265.2,AARDXI010000067.1,0
GCA_012814395.1,AATIAU010000058.1,1
GCA_014436445.1,ABLCRB010000053.1,0
GCA_023520455.1,ABMDBB010000074.1,0
GCA_025387705.1,AARDVX010000057.1,0
GCA_024670795.1,ABOTQG010000034.1,0
GCA_011829315.1,AAQXZO010000031.1,1
GCA_011865285.1,ABFDQB010000062.1,0
GCA_021082305.1,JAJKTO010000087.1,0
GCA_030003215.1,AASEUI010000076.1,0
GCA_911104635.1,CAJVLL010000062.1,1
GCA_026044155.1,ABJEFM010000035.1,1
GCA_958306255.1,CATQWN010000009.1,1
GCA_946060405.1,AASOJK010000032.1,0
GCA_020557005.1,ABDJAO010000061.1,1
GCA_902849825.1,AARIKI010000043.1,0
GCA_003113075.1,DAJGRQ010000088.1,0
GCA_030474895.1,AATBCA010000089.1,0
GCA_017717135.1,ABPFMJ010000045.1,0
GCA_012170055.1,ABAZLC010000030.1,0
GCA_016971095.1,DADGCS010000063.1,1
GCA_012684865.1,AATAOH010000045.1,1
GCA_032828295.1,ABOBHH010000041.1,1
GCA_023679655.1,CAMGYC010000066.1,0
GCA_012060505.1,AARNMK010000047.1,1
GCA_023525875.1,ABGIBV010000049.1,1
GCA_019939915.1,CADHDK010000057.1,0
GCA_958311995.1,CATRSI010000051.1,1
GCA_031704915.1,AASYRX010000053.1,0
GCA_017023195.1,ABCSOM010000075.1,0
GCA_012821975.1,JAXLER010000044.1,0
GCA_016975615.1,AAQXZN010000057.1,0
GCA_012024145.1,CADEMC010000038.1,0
GCA_030712795.1,JAUOXC010000007.1,1
GCA_009823005.1,VDLA01000057.1,1
GCA_963872855.1,CAWNDD010000036.1,1
GCA_011833955.1,AAVJUR010000065.1,0
GCA_011836295.1,JAAVIW010000050.1,0
GCA_014682485.1,DABUMP010000046.1,1
GCA_012805325.1,AATHMO010000050.1,1
GCA_018228205.1,ABAINI010000062.1,1
GCA_012727035.1,CATVLG010000050.1,0
GCA_017117365.1,PQPI01000063.1,1
GCA_012020245.1,ABPJRN010000057.1,0
GCA_014126245.1,DAPZJX010000085.1,0
GCA_027907955.1,ABEXVT010000057.1,0
GCA_025712225.1,AASIFH010000028.1,0
GCA_024354095.1,CAUIMS010000077.1,0
GCA_021950465.1,ABEYQJ010000052.1,1
GCA_012035515.1,JAAULQ010000023.1,1
GCA_958430835.1,ABMZPA010000051.1,0
GCA_012501615.1,AASQWJ010000051.1,1
GCA_014621355.1,DADGQC010000064.1,0
GCA_029308395.1,ABRNOK010000031.1,0
GCA_020621725.1,ABDMME010000033.1,1
GCA_033900305.1,DABWRA010000058.1,0
GCA_019284585.1,AARIPO010000054.1,0
GCA_903974775.1,CAJCXV010000069.1,1
GCA_013584295.1,JACWWF010000364.1,0
GCA_000467695.1,AVDU01000087.1,1
GCA_029489805.1,DAOEEB010000071.1,1
GCA_032615855.1,AAQYRB010000021.1,0
GCA_017727495.1,CAJDCB010000041.1,0
GCA_031932805.1,DAMTWV010000060.1,0
GCA_012919045.2,AATNBL020000035.1,1
GCA_021194345.1,ABELDN010000030.1,0
GCA_012669745.1,AATAAD010000068.1,1
GCA_023187575.1,AARTMH010000060.1,0
GCA_013782285.1,DADVSZ010000038.1,0
GCA_012816815.1,AASGPB010000034.1,0
GCA_036036865.1,JAYXEM010000060.1,1
GCA_031932805.1,ABMXGU010000067.1,1
GCA_002291115.1,DAHBLW010000086.1,0
GCA_011869325.1,JBAIBI010000090.1,0
GCA_014815905.1,DABWQG010000045.1,1
GCA_032178575.1,AAVHOI010000031.1,0
GCA_012324845.1,AASGRF010000041.1,1
GCA_012811535.1,AARWRE010000034.1,0
GCA_012493165.1,AASQOS010000066.1,1
GCA_902840285.1,CADGFN010000080.1,1
GCA_015271875.1,AAXCER010000052.1,1
GCA_013615395.1,AAVOLN010000036.1,0
GCA_016984435.1,AATEKD010000057.1,0
GCA_025293455.1,DAJGVJ010000086.1,1
GCA_020340795.1,JAJNDP010000004.1,0
GCA_012112675.1,AARVVR010000030.1,0
GCA_030474035.1,JASZON010000142.1,1
GCA_023191395.1,AASTPH010000051.1,0
GCA_011967385.1,VZEN01000038.1,0
GCA_012385275.1,AASJKQ010000104.1,1
GCA_012111055.1,ABPDJH010000029.1,0
GCA_012856075.2,JAAUFB010000038.1,0
GCA_016390195.1,AASJTK010000064.1,0
GCA_009775865.1,VSRE01000027.1,1
GCA_012635125.1,AASYGC010000057.1,1
GCA_002461395.1,JAYXEM010000060.1,0
GCA_017779265.1,JJLU01000060.1,0
GCA_025423975.1,ABILZH010000052.1,1
GCA_012111315.1,JAXRFH010000269.1,0
GCA_011869465.1,AARAWU010000074.1,1
GCA_005400705.1,AARVWY010000039.1,0
GCA_018389195.1,ABAMFW010000084.1,1
GCA_012546075.1,AASSDP010000141.1,1
GCA_036037295.1,JAYXEA010000059.1,1
GCA_034022165.1,QFSU01000007.1,0
GCA_002515315.1,ABBHZF010000029.1,0
GCA_015296935.1,ABKATX010000041.1,0
GCA_025027025.1,AATBMT010000030.1,0
GCA_025325205.1,AASFPH010000090.1,0
GCA_019528555.1,ABPDMX010000032.1,0
GCA_030167205.1,JAPYLY010000013.1,1
GCA_025602195.1,JANFII010000086.1,0
GCA_014166715.1,AAVKBG010000048.1,1
GCA_900479215.1,ABBLXQ010000031.1,0
GCA_023041675.1,ABMRPE010000055.1,0
GCA_035790515.1,ABMVGN010000035.1,0
GCA_032588795.1,ABNQVG010000018.1,1
GCA_028049655.1,CATULY010000012.1,0
GCA_032640165.1,AAZSZX010000056.1,0
GCA_026765855.1,JARIKW010000056.1,0
GCA_011816005.1,AAQXAC010000032.1,1
GCA_012323685.1,CATRHI010000062.1,0
GCA_020065925.1,ABCOOK010000036.1,1
GCA_011890925.1,DAFMGL010000059.1,0
GCA_023519145.1,JAOSXD010000065.1,0
GCA_023801075.1,AAVPXF010000042.1,0
GCA_002190835.1,AARTQE010000032.1,0
GCA_958317055.1,CATSLY010000039.1,1
GCA_014369065.1,AAVRDZ010000081.1,1
GCA_012500355.1,AASQUK010000034.1,1
GCA_018770205.1,ABASZA010000031.1,1
GCA_902709635.2,CACSWU020000029.1,1
GCA_024976035.1,ABHZCU010000160.1,1
GCA_012151435.1,AARDUL010000021.1,0
GCA_902846545.1,AAXJXF010000048.1,0
GCA_012825815.1,AATIVN010000049.1,1
GCA_023177995.1,ABFZDQ010000033.1,1
GCA_903974775.1,DAPZBC010000057.1,0
GCA_012235885.1,AARYDY010000031.1,0
GCA_012814255.1,ABITGV010000029.1,0
GCA_011820525.1,AIGA01000018.1,0
GCA_012088015.1,DADXJK010000064.1,0
GCA_005039305.1,DAEFMM010000034.1,0
GCA_023096705.1,JALLZZ010000048.1,1
GCA_035609455.1,ABDIQV010000044.1,0
GCA_012138025.1,AARSXS010000053.1,1
GCA_014436445.1,NEOQ01000068.1,0
GCA_014807895.1,JACWWF010000364.1,1
GCA_013128255.1,AAREVW010000047.1,0
GCA_012196645.1,AAQXOF010000031.1,0
GCA_004282685.1,ABLQNX010000066.1,0
GCA_902828075.1,CADEKX010000047.1,1
GCA_037641225.1,JBBGQL010000030.1,1
GCA_000622635.2,JHGI01000096.1,1
GCA_023815805.1,ABPFBT010000030.1,0
GCA_036458665.1,ABRNOK010000031.1,0
GCA_027795295.1,AARSPW010000080.1,0
GCA_023214915.1,ABDESQ010000031.1,0
GCA_021972255.1,ABEYRZ010000076.1,1
GCA_031234795.1,AAQZBC010000032.1,0
GCA_905133625.1,AATZLS010000031.1,0
GCA_018357225.1,ABALWC010000031.1,1
GCA_958331625.1,ABMDIU010000035.1,0
GCA_012009445.1,AAUCPC010000031.1,0
GCA_012084215.1,AARPBX010000056.1,1
GCA_021358205.1,ABENKD010000029.1,1
GCA_958307615.1,AARRCR010000053.1,0
GCA_038027765.1,ABBUQG010000037.1,0
GCA_012081595.1,AAROXK010000049.1,1
GCA_026233935.1,JAEGSP010000051.1,1
GCA_002519085.1,ABKXIZ010000073.1,0
GCA_015219625.1,CATVLY010000033.1,0
GCA_023210575.1,AASNNR010000036.1,0
GCA_012388675.1,AASJRI010000034.1,1
GCA_034565795.1,ABPOWB010000029.1,1
GCA_031731875.1,JAVMQC010000022.1,1
GCA_907165325.1,CAJRBL010000103.1,1
GCA_023200155.1,DAHBTC010000041.1,1
GCA_034692545.1,JAVMPS010000022.1,0
GCA_958328125.1,ABAXDS020000059.1,0
GCA_031081485.1,ABLXWT010000014.1,1
GCA_011958825.1,AARHOL010000085.1,1
GCA_028071155.1,AAQWXQ010000065.1,0
GCA_013071485.1,AATQYN010000044.1,1
GCA_024118015.1,ABGWSM010000032.1,1
GCA_011903065.1,AARDTG010000079.1,1
GCA_032340115.1,ABEFMM010000069.1,0
GCA_015226405.1,AASGRF010000041.1,0
GCA_012589185.1,AASVDU010000056.1,1
GCA_002457865.1,AASJTA010000037.1,0
GCA_034488765.1,ABPNLB010000059.1,1
GCA_008634665.1,BJQR01000018.1,1
GCA_002514855.1,NKLZ01000080.1,1
GCA_012817425.1,JAGMTB010000070.1,0
GCA_012203965.1,AARYIB010000065.1,1
GCA_020242825.1,JVMZ01000262.1,0
GCA_012072785.1,JAIZTP010000048.1,0
GCA_031732375.1,AATGEO010000031.1,0
GCA_018920985.1,DARNZN010000037.1,0
GCA_037967405.1,AARAFH010000032.1,0
GCA_015202325.1,ABIDVU010000032.1,0
GCA_016403745.1,JAEKHU010000078.1,1
GCA_018459165.1,DADZUR010000034.1,0
GCA_029432125.1,DAJFAQ010000022.1,0
GCA_011910365.1,AAREFD010000034.1,1
GCA_032629265.2,ABATEO010000053.1,0
GCA_003255165.1,ABCGFB010000046.1,0
GCA_000615225.2,CAJDMT010000044.1,0
GCA_902828775.1,CADENV010000057.1,1
GCA_014553295.1,AAWARW010000071.1,1
GCA_012430505.1,AASMLR010000019.1,1
GCA_011911505.1,AAREGU010000031.1,1
GCA_035967155.1,AASCFO010000045.1,0
GCA_014292955.1,AAVNZM010000029.1,1
GCA_030191925.1,JANGMB010000045.1,1
GCA_012581415.1,ABRVOR010000046.1,0
GCA_011843665.1,DAOYHA010000086.1,0
GCA_020547905.1,ABDIRF010000036.1,1
GCA_028167665.1,ABKMRK020000040.1,0
GCA_032838635.1,DAQHZH010000024.1,1
GCA_028813955.1,ABKSVF010000050.1,1
GCA_012162335.1,AARUQN010000036.1,1
GCA_030713925.1,JAUOWN010000010.1,1
GCA_018289215.1,ABAKES010000042.1,1
GCA_014436445.1,AAVVDY010000067.1,1
GCA_018989085.1,AARZGI010000032.1,0
GCA_012350205.1,JAYXKY010000070.1,0
GCA_029714465.2,ABLMOD020000037.1,1
GCA_023097785.1,JALMCA010000043.1,1
GCA_958401615.1,ABAFQC010000095.1,0
GCA_036293125.1,ABKIWS010000052.1,0
GCA_018530185.1,AASLTL010000061.1,0
GCA_026274745.1,JARHPH010000020.1,0
GCA_000615385.1,JHFO01000098.1,1
GCA_012453985.1,AAXJJR010000044.1,0
GCA_900488925.1,UEFB01000079.1,1
GCA_032792105.1,ABNZRJ010000058.1,1
GCA_014437745.1,AAWXRF010000031.1,0
GCA_028758365.1,AATKYA010000044.1,0
GCA_011864545.1,ABOWTN010000040.1,0
GCA_012435675.1,AASMYA010000030.1,1
GCA_019598865.1,ABBYAP010000033.1,1
GCA_032640265.1,ABNTIK010000068.1,1
GCA_011830035.1,AAREGU010000031.1,0
GCA_014765855.1,AAWIUN010000018.1,1
GCA_011918365.1,AAVVDY010000047.1,0
GCA_027971705.1,JAVLLG010000049.1,0
GCA_019643275.1,ABBYLN010000032.1,1
GCA_000264115.1,AATTHF010000065.1,0
GCA_012560745.1,AASTEI010000033.1,1
GCA_036036865.1,NOOD01000021.1,0
GCA_014609355.1,ABOBFA010000041.1,0
GCA_036910395.1,JATAHE010000017.1,1
GCA_012326275.1,JHFR01000031.1,0
GCA_017739075.1,AAZTDQ010000032.1,1
GCA_012388695.1,AASJRK010000033.1,1
GCA_902710265.2,CACSZD020000035.1,1
GCA_016108745.1,JAVMQS010000019.1,0
GCA_012401065.1,AAVVNK010000072.1,0
GCA_012368415.1,ABPTHA010000054.1,0
GCA_019957805.1,JAIOVV010000038.1,1
GCA_021357325.1,DAHAAK010000113.1,0
GCA_012390075.1,JAYWMW010000080.1,0
GCA_030792725.1,DAOXIQ010000035.1,1
GCA_020299805.1,ABCXRD010000023.1,1
GCA_001608005.1,LOFJ01000024.1,1
GCA_012630105.1,AASXWB010000050.1,1
GCA_012390715.1,ABKYIJ010000045.1,0
GCA_012704045.1,AATBTL010000032.1,1
GCA_012589725.1,AASVEH010000036.1,1
GCA_031960325.1,CAJPXN010000032.1,0
GCA_030390715.1,ABEBLA010000031.1,0
GCA_023190535.1,DAHBLW010000086.1,1
GCA_035925645.1,ABPYBL010000033.1,1
GCA_017724905.1,ABMOXR010000040.1,0
GCA_015219585.1,AATTEP010000061.1,0
GCA_013105555.1,AATSIL010000030.1,1
GCA_038380575.1,ABRTTO010000056.1,1
GCA_020290865.1,DAFADB010000026.1,1
GCA_012210895.1,JAKXPC010000008.1,0
GCA_017690355.1,AAZSKB010000043.1,1
GCA_029283815.1,AARLUU010000133.1,0
GCA_000249695.2,JAUOYN010000062.1,0
GCA_014888355.1,AAWLHQ010000065.1,1
GCA_025049275.1,ABCDMO010000042.1,0
GCA_017106525.1,AAZBUW010000050.1,1
GCA_031094865.1,ABMHGZ010000034.1,0
GCA_014437425.1,AAVVFC010000052.1,1
GCA_025672265.1,DAJOAF010000104.1,1
GCA_020383375.1,AAUBZR010000055.1,0
GCA_012886115.1,ABRPUD010000051.1,0
GCA_011910925.1,AAROEX010000097.1,0
GCA_026873685.1,ABJUAV010000054.1,1
GCA_034297655.1,JAANCS010000016.1,0
GCA_023038035.1,AAZUBL010000030.1,0
GCA_027963265.1,JANWFC010000048.1,0
GCA_002766875.1,AAADKW020000103.1,0
GCA_020395325.1,ABDDKD010000007.1,1
GCA_025525535.1,SZLE01000021.1,0
GCA_916176115.1,AAVYUR010000052.1,0
GCA_012787615.1,AATGPS010000045.1,1
GCA_012140965.1,AASIHK010000059.1,0
GCA_012496045.1,AASQPC010000035.1,1
GCA_015832715.1,JAVLLG010000049.1,0
GCA_018092985.1,ABADWY010000034.1,1
GCA_012050425.1,AARBWS010000067.1,0
GCA_021281845.1,SAEL01000091.1,0
GCA_023548095.1,ABGJAW010000030.1,1
GCA_001942145.1,MKGX01000246.1,1
GCA_038450985.1,DAOFOZ010000052.1,0
GCA_958308895.1,CATRGK010000048.1,1
GCA_025380705.1,DAJIQX010000040.1,1
GCA_020087405.1,DAEVPG010000069.1,0
GCA_012646845.1,JAOVLK010000061.1,0
GCA_012234505.1,AARWZT010000029.1,1
GCA_036506535.1,ABQFIE010000057.1,1
GCA_001607765.1,LOIQ01000013.1,1
GCA_011937245.1,AARWYE010000061.1,0
GCA_002457965.1,ABACDE010000049.1,0
GCA_032788935.1,ABNZLP010000052.1,1
GCA_011863465.1,AARAKN010000045.1,1
GCA_025699105.1,DAJOVY010000131.1,1
GCA_015095695.1,ABROAT010000021.1,0
GCA_023358535.1,ABGEKB010000034.1,1
GCA_028545785.1,DABCQK010000059.1,0
GCA_030199835.1,JARILB010000057.1,1
GCA_012075825.1,AAROMD010000046.1,1
GCA_012462185.1,AASOOP010000029.1,1
GCA_012240475.1,AARWSM010000031.1,1
GCA_024728425.1,ABHOKL010000031.1,1
GCA_036033535.1,AATEKD010000057.1,0
GCA_012973565.1,RMFO02000043.1,0
GCA_031833355.1,DAPPDB010000106.1,1
GCA_024413835.1,ABHGAE010000032.1,1
GCA_003255185.1,QFSP01000138.1,1
GCA_018770005.1,ABASYN010000052.1,1
GCA_031094805.1,ABLYGJ010000036.1,1
GCA_019294245.1,ABBKIM010000032.1,1
GCA_014950695.1,CAUISR010000037.1,0
GCA_011885095.1,DAQFNR010000051.1,0
GCA_018262955.1,ABAJCF010000029.1,1
GCA_011966065.1,ABKQLV010000042.1,0
GCA_012146645.1,AAUDBG010000032.1,0
GCA_019326645.1,ABBLLQ010000034.1,1
